ts,loss,acc,val_loss,val_acc
1571330312,0.156439378858,0.77,0.173895716667,0.8
1571330313,0.11085357517,0.85,0.161759480834,0.75
1571330313,0.137149736285,0.8,0.170433551073,0.74
1571330313,0.130423605442,0.83,0.163731247187,0.76
1571330313,0.11550848186,0.85,0.177073225379,0.76
1571330313,0.155329138041,0.77,0.176194936037,0.76
1571330313,0.113205552101,0.86,0.173029333353,0.74
1571330314,0.128980815411,0.85,0.160256102681,0.77
1571330314,0.142608717084,0.83,0.161408528686,0.8
1571330314,0.116050697863,0.85,0.134543687105,0.82
1571330314,0.120096825063,0.8,0.18893879652,0.74
1571330314,0.127081096172,0.86,0.159330055118,0.79
1571330314,0.156788721681,0.8,0.186984062195,0.69
1571330315,0.122448891401,0.82,0.125405177474,0.8
1571330315,0.129864111543,0.81,0.177926436067,0.77
1571330315,0.109422616661,0.85,0.186867162585,0.75
1571330315,0.135273620486,0.77,0.128668114543,0.88
1571330315,0.175501272082,0.77,0.163404971361,0.74
1571330315,0.149153053761,0.78,0.140193462372,0.75
1571330316,0.097852088511,0.87,0.156723409891,0.79
1571330316,0.0957027226686,0.85,0.184728384018,0.72
1571330316,0.14115935564,0.79,0.190900534391,0.76
1571330316,0.123979769647,0.84,0.175636127591,0.73
1571330316,0.159560963511,0.78,0.171162381768,0.73
1571330316,0.140845179558,0.79,0.156381875277,0.79
1571330317,0.147657260299,0.79,0.136904731393,0.8
1571330317,0.101328156888,0.87,0.171911522746,0.75
1571330317,0.139352932572,0.8,0.163877278566,0.77
1571330317,0.138986855745,0.78,0.154786080122,0.75
1571330317,0.109491445124,0.86,0.212003648281,0.72
1571330317,0.119306996465,0.83,0.186993405223,0.71
1571330318,0.168531775475,0.79,0.141497939825,0.79
1571330318,0.143895417452,0.74,0.146955534816,0.72
1571330318,0.128590032458,0.87,0.185324653983,0.73
1571330318,0.133544668555,0.81,0.13094510138,0.79
1571330318,0.130123645067,0.82,0.139245018363,0.81
1571330318,0.132355794311,0.84,0.17631906271,0.73
1571330318,0.126069098711,0.8,0.118937596679,0.83
1571330319,0.132632210851,0.82,0.162323504686,0.72
1571330319,0.113642662764,0.84,0.187988758087,0.69
1571330319,0.0990027338266,0.88,0.122966364026,0.81
1571330319,0.161417603493,0.76,0.207667544484,0.67
1571330319,0.140505298972,0.82,0.126744017005,0.85
1571330319,0.207583978772,0.7,0.142195940018,0.79
1571330320,0.114508084953,0.82,0.166951909661,0.79
1571330320,0.104727856815,0.86,0.161437556148,0.76
1571330320,0.155601471663,0.75,0.120059542358,0.81
1571330320,0.115705877542,0.85,0.148879408836,0.81
1571330320,0.127230465412,0.83,0.168081745505,0.75
1571330320,0.157722309232,0.78,0.168460041285,0.7
1571330321,0.146418690681,0.79,0.161184057593,0.76
1571330321,0.140191167593,0.79,0.146231502295,0.77
1571330321,0.100609406829,0.88,0.158473819494,0.78
1571330321,0.116567984223,0.83,0.155232772231,0.76
1571330321,0.0901486873627,0.923076923077,0.166401877999,0.76
1571330321,0.143611937761,0.81,0.154255956411,0.78
1571330322,0.102891288698,0.85,0.146085008979,0.77
1571330322,0.105878137052,0.86,0.161275789142,0.78
1571330322,0.114403344691,0.83,0.19950415194,0.75
1571330322,0.126835927367,0.82,0.139399781823,0.79
1571330322,0.108013436198,0.85,0.186551481485,0.7
1571330322,0.131158903241,0.83,0.154756143689,0.79
1571330323,0.106215365231,0.87,0.19115293026,0.69
1571330323,0.131906062365,0.81,0.17253702879,0.75
1571330323,0.140814527869,0.77,0.153123751283,0.77
1571330323,0.093978561461,0.89,0.20028270781,0.72
1571330323,0.173762634397,0.75,0.165109321475,0.79
1571330323,0.106582000852,0.84,0.133281111717,0.84
1571330323,0.13343244791,0.84,0.160996764898,0.76
1571330324,0.107490338385,0.86,0.177814364433,0.73
1571330324,0.149497389793,0.8,0.185957059264,0.71
1571330324,0.141885519028,0.77,0.149256646633,0.76
1571330324,0.140120282769,0.78,0.174182280898,0.71
1571330324,0.10671826452,0.84,0.188053458929,0.74
1571330324,0.133906364441,0.8,0.184257477522,0.72
1571330325,0.166622012854,0.74,0.186217457056,0.7
1571330325,0.108900874853,0.87,0.205939337611,0.7
1571330325,0.133605450392,0.76,0.125031083822,0.82
